,Trial,Size,Comparisons,Swaps,QuickSort duration
244,2.0,4500.0,32244.0,35230.0,0.3101952075958252
245,2.0,4600.0,31873.0,34956.0,0.3316662311553955
246,2.0,4700.0,36852.0,39996.0,0.45014286041259766
247,2.0,4800.0,34216.0,37426.0,0.33653807640075684
248,2.0,4900.0,35217.0,38476.0,0.4376339912414551
249,2.0,5000.0,37028.0,40389.0,0.4607970714569092
250,2.0,5100.0,38765.0,42172.0,0.4407329559326172
251,2.0,5200.0,35254.0,38692.0,0.4246809482574463
252,2.0,5300.0,41933.0,45466.0,0.49650096893310547
253,2.0,5400.0,41507.0,45100.0,0.5226399898529053
254,2.0,5500.0,35018.0,38682.0,0.47546911239624023
255,2.0,5600.0,36634.0,40360.0,0.41320180892944336
256,2.0,5700.0,48606.0,52386.0,0.47549915313720703
257,2.0,5800.0,42056.0,45944.0,0.43535804748535156
258,2.0,5900.0,54636.0,58570.0,0.5945930480957031
259,2.0,6000.0,46341.0,50335.0,0.5919649600982666
260,2.0,6100.0,36904.0,40981.0,0.4432258605957031
261,2.0,6200.0,43477.0,47615.0,0.5454857349395752
262,2.0,6300.0,52555.0,56774.0,0.5535171031951904
263,2.0,6400.0,47531.0,51784.0,0.49706172943115234
264,2.0,6500.0,54153.0,58529.0,0.5589148998260498
265,2.0,6600.0,43407.0,47828.0,0.4169580936431885
266,2.0,6700.0,58933.0,63384.0,0.5566730499267578
267,2.0,6800.0,45038.0,49534.0,0.47106409072875977
268,2.0,6900.0,59734.0,64332.0,0.6034669876098633
269,2.0,7000.0,48554.0,53212.0,0.5452921390533447
270,2.0,7100.0,54580.0,59285.0,0.8410060405731201
271,2.0,7200.0,57489.0,62293.0,0.7452490329742432
272,2.0,7300.0,48431.0,53310.0,0.5455210208892822
273,2.0,7400.0,61292.0,66239.0,0.639733076095581
274,2.0,7500.0,59999.0,64993.0,0.916085958480835
275,2.0,7600.0,57198.0,62245.0,0.9356880187988281
276,2.0,7700.0,59115.0,64277.0,0.7039129734039307
277,2.0,7800.0,63152.0,68310.0,0.7354428768157959
278,2.0,7900.0,60702.0,65979.0,0.6820220947265625
279,2.0,8000.0,63578.0,68890.0,0.745089054107666
280,2.0,8100.0,56542.0,61969.0,0.6849889755249023
281,2.0,8200.0,58588.0,64029.0,0.602165937423706
282,2.0,8300.0,63250.0,68790.0,0.6256787776947021
283,2.0,8400.0,59635.0,65238.0,0.5773298740386963
284,2.0,8500.0,71478.0,77130.0,0.808480978012085
285,2.0,8600.0,72064.0,77796.0,1.2416110038757324
286,2.0,8700.0,59333.0,65120.0,0.9041228294372559
287,2.0,8800.0,68806.0,74667.0,0.8120608329772949
288,2.0,8900.0,67027.0,72949.0,0.6568481922149658
289,2.0,9000.0,69841.0,75841.0,0.7381381988525391
290,2.0,9100.0,73104.0,79184.0,0.7865190505981445
291,2.0,9200.0,69795.0,75925.0,0.8870611190795898
292,2.0,9300.0,68413.0,74611.0,0.840465784072876
293,2.0,9400.0,72682.0,78944.0,0.8460237979888916
294,2.0,9500.0,77791.0,84101.0,0.9316418170928955
295,2.0,9600.0,81356.0,87753.0,0.7823901176452637
296,2.0,9700.0,70893.0,77362.0,0.6658139228820801
297,2.0,9800.0,82692.0,89240.0,0.757174015045166
298,2.0,9900.0,86797.0,93373.0,0.8975088596343994
299,2.0,10000.0,78251.0,84913.0,0.7251360416412354
300,3.0,100.0,308.0,375.0,0.0033729076385498047
