,Trial,Size,Comparisons,Swaps,Merge duration
330,3.0,3100.0,17528.0,20627.0,0.20043015480041504
331,3.0,3200.0,18112.0,21311.0,0.2024538516998291
332,3.0,3300.0,18728.0,22027.0,0.2144927978515625
333,3.0,3400.0,19372.0,22771.0,0.21408486366271973
334,3.0,3500.0,20064.0,23563.0,0.23199200630187988
335,3.0,3600.0,20816.0,24415.0,0.21709513664245605
336,3.0,3700.0,21468.0,25167.0,0.23213815689086914
337,3.0,3800.0,22188.0,25987.0,0.2438499927520752
338,3.0,3900.0,22940.0,26839.0,0.2369849681854248
339,3.0,4000.0,23728.0,27727.0,0.2565910816192627
340,3.0,4100.0,24584.0,28683.0,0.2731940746307373
341,3.0,4200.0,25012.0,29211.0,0.2803950309753418
342,3.0,4300.0,25528.0,29827.0,0.27434325218200684
343,3.0,4400.0,26080.0,30479.0,0.28174901008605957
344,3.0,4500.0,26660.0,31159.0,0.2787449359893799
345,3.0,4600.0,27324.0,31923.0,0.29565906524658203
346,3.0,4700.0,27860.0,32559.0,0.306865930557251
347,3.0,4800.0,28480.0,33279.0,0.3097350597381592
348,3.0,4900.0,29124.0,34023.0,0.31259894371032715
349,3.0,5000.0,29804.0,34803.0,0.3025798797607422
350,3.0,5100.0,30540.0,35639.0,0.3178980350494385
351,3.0,5200.0,31120.0,36319.0,0.33176112174987793
352,3.0,5300.0,31720.0,37019.0,0.4219851493835449
353,3.0,5400.0,32380.0,37779.0,0.33304882049560547
354,3.0,5500.0,33052.0,38551.0,0.37197232246398926
355,3.0,5600.0,33776.0,39375.0,0.38420581817626953
356,3.0,5700.0,34452.0,40151.0,0.3402550220489502
357,3.0,5800.0,35140.0,40939.0,0.3854990005493164
358,3.0,5900.0,35908.0,41807.0,0.3954737186431885
359,3.0,6000.0,36656.0,42655.0,0.3911609649658203
360,3.0,6100.0,37472.0,43571.0,0.3708980083465576
361,3.0,6200.0,38156.0,44355.0,0.4117410182952881
362,3.0,6300.0,38740.0,45039.0,0.4152688980102539
363,3.0,6400.0,39424.0,45823.0,0.4096529483795166
364,3.0,6500.0,40040.0,46539.0,0.419248104095459
365,3.0,6600.0,40756.0,47355.0,0.4536769390106201
366,3.0,6700.0,41460.0,48159.0,0.45406413078308105
367,3.0,6800.0,42144.0,48943.0,0.433851957321167
368,3.0,6900.0,42896.0,49795.0,0.4747638702392578
369,3.0,7000.0,43628.0,50627.0,0.47501373291015625
370,3.0,7100.0,44440.0,51539.0,0.4714970588684082
371,3.0,7200.0,45232.0,52431.0,0.4745919704437256
372,3.0,7300.0,45908.0,53207.0,0.4912528991699219
373,3.0,7400.0,46636.0,54035.0,0.5096261501312256
374,3.0,7500.0,47376.0,54875.0,0.5005197525024414
375,3.0,7600.0,48176.0,55775.0,0.49031496047973633
376,3.0,7700.0,49016.0,56715.0,0.5046772956848145
377,3.0,7800.0,49780.0,57579.0,0.5186460018157959
378,3.0,7900.0,50600.0,58499.0,0.5278892517089844
379,3.0,8000.0,51456.0,59455.0,0.5499298572540283
380,3.0,8100.0,52336.0,60435.0,0.553969144821167
381,3.0,8200.0,53268.0,61467.0,0.5369210243225098
382,3.0,8300.0,53704.0,62003.0,0.6557638645172119
383,3.0,8400.0,54224.0,62623.0,0.5711860656738281
384,3.0,8500.0,54772.0,63271.0,0.5719239711761475
385,3.0,8600.0,55356.0,63955.0,0.58846116065979
386,3.0,8700.0,56028.0,64727.0,0.5584921836853027
387,3.0,8800.0,56560.0,65359.0,0.616077184677124
388,3.0,8900.0,57172.0,66071.0,0.6021928787231445
389,3.0,9000.0,57820.0,66819.0,0.639244794845581
390,3.0,9100.0,58500.0,67599.0,0.7423241138458252
391,3.0,9200.0,59248.0,68447.0,0.6612198352813721
392,3.0,9300.0,59812.0,69111.0,0.623056173324585
393,3.0,9400.0,60420.0,69819.0,0.653648853302002
394,3.0,9500.0,61076.0,70575.0,0.6576669216156006
395,3.0,9600.0,61760.0,71359.0,0.6620688438415527
396,3.0,9700.0,62476.0,72175.0,0.6880130767822266
397,3.0,9800.0,63148.0,72947.0,0.6803531646728516
398,3.0,9900.0,63840.0,73739.0,0.6873159408569336
399,3.0,10000.0,64608.0,74607.0,0.6866130828857422
400,4.0,100.0,316.0,415.0,0.0037071704864501953
401,4.0,200.0,732.0,931.0,0.009779930114746094
402,4.0,300.0,1180.0,1479.0,0.012681007385253906
403,4.0,400.0,1664.0,2063.0,0.016705751419067383
404,4.0,500.0,2216.0,2715.0,0.023834228515625
405,4.0,600.0,2660.0,3259.0,0.03144121170043945
406,4.0,700.0,3172.0,3871.0,0.03261375427246094
407,4.0,800.0,3728.0,4527.0,0.03939008712768555
408,4.0,900.0,4304.0,5203.0,0.04845571517944336
409,4.0,1000.0,4932.0,5931.0,0.0480351448059082
410,4.0,1100.0,5420.0,6519.0,0.05937695503234863
411,4.0,1200.0,5920.0,7119.0,0.0656440258026123
412,4.0,1300.0,6480.0,7779.0,0.0803537368774414
413,4.0,1400.0,7044.0,8443.0,0.07208395004272461
414,4.0,1500.0,7664.0,9163.0,0.08241987228393555
415,4.0,1600.0,8256.0,9855.0,0.0868079662322998
416,4.0,1700.0,8836.0,10535.0,0.08608794212341309
417,4.0,1800.0,9508.0,11307.0,0.10392618179321289
418,4.0,1900.0,10144.0,12043.0,0.1046910285949707
419,4.0,2000.0,10864.0,12863.0,0.1168060302734375
420,4.0,2100.0,11456.0,13555.0,0.11111712455749512
421,4.0,2200.0,11940.0,14139.0,0.11394691467285156
422,4.0,2300.0,12512.0,14811.0,0.14038300514221191
423,4.0,2400.0,13040.0,15439.0,0.1418309211730957
424,4.0,2500.0,13652.0,16151.0,0.14871907234191895
425,4.0,2600.0,14260.0,16859.0,0.15857911109924316
426,4.0,2700.0,14840.0,17539.0,0.16515612602233887
427,4.0,2800.0,15488.0,18287.0,0.1624898910522461
428,4.0,2900.0,16120.0,19019.0,0.22691583633422852
429,4.0,3000.0,16828.0,19827.0,0.39873623847961426
430,4.0,3100.0,17528.0,20627.0,0.22964692115783691
431,4.0,3200.0,18112.0,21311.0,0.23047494888305664
432,4.0,3300.0,18728.0,22027.0,0.2672419548034668
433,4.0,3400.0,19372.0,22771.0,0.3150489330291748
434,4.0,3500.0,20064.0,23563.0,0.282459020614624
435,4.0,3600.0,20816.0,24415.0,0.28791189193725586
436,4.0,3700.0,21468.0,25167.0,0.272554874420166
437,4.0,3800.0,22188.0,25987.0,0.297914981842041
438,4.0,3900.0,22940.0,26839.0,0.2623879909515381
439,4.0,4000.0,23728.0,27727.0,0.3308401107788086
440,4.0,4100.0,24584.0,28683.0,0.3072679042816162
441,4.0,4200.0,25012.0,29211.0,0.2735726833343506
442,4.0,4300.0,25528.0,29827.0,0.2562599182128906
443,4.0,4400.0,26080.0,30479.0,0.272960901260376
444,4.0,4500.0,26660.0,31159.0,0.32224273681640625
445,4.0,4600.0,27324.0,31923.0,0.3201107978820801
446,4.0,4700.0,27860.0,32559.0,0.32560205459594727
447,4.0,4800.0,28480.0,33279.0,0.3819749355316162
448,4.0,4900.0,29124.0,34023.0,0.32332682609558105
449,4.0,5000.0,29804.0,34803.0,0.31839513778686523
450,4.0,5100.0,30540.0,35639.0,0.3438999652862549
451,4.0,5200.0,31120.0,36319.0,0.44887709617614746
452,4.0,5300.0,31720.0,37019.0,0.37158799171447754
453,4.0,5400.0,32380.0,37779.0,0.6549582481384277
454,4.0,5500.0,33052.0,38551.0,0.9845678806304932
455,4.0,5600.0,33776.0,39375.0,0.5385069847106934
456,4.0,5700.0,34452.0,40151.0,0.4808788299560547
457,4.0,5800.0,35140.0,40939.0,0.49573397636413574
458,4.0,5900.0,35908.0,41807.0,0.49063920974731445
459,4.0,6000.0,36656.0,42655.0,0.4523749351501465
460,4.0,6100.0,37472.0,43571.0,0.45262885093688965
461,4.0,6200.0,38156.0,44355.0,0.5099530220031738
462,4.0,6300.0,38740.0,45039.0,0.4753608703613281
